"","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Species.Code","Common.Name","Confidence","study_area","site","round","ARU","Date","Time","Date_time","Observer","Detections","Comments","COMMENTS","Detection","NA.","DETECTIONS","CommentsS","Columns","Commnets","Detectoins","FSelection","Delta.Time..s.","Delta.Freq..Hz.","Avg.Power.Density..dB.FS.Hz.","Comments.1","Coments","Comments.1.Spectrogram.1.1.2217.000000000.2220.000000000.150.000.12000.000.leabit.Least.Bittern.0.4385.0.RWBL.2.Spectrogram.1.1.438.000000000.441.000000000.150.000.12000.000.leabit.Least.Bittern.0.5114.0.RWBL..Selection.View.Channel.Begin.Time..s..End.Time..s..Low.Freq..Hz..High.Freq..Hz..Species.Code.Common.Name.Confidence.Detections.Comments","Detections.Comments.1.Spectrogram.1.1.1101.000000000.1104.000000000.150.000.12000.000.pibgre.Pied.billed.Grebe.0.4530.0.FROG.2.Spectrogram.1.1.438.000000000.441.000000000.150.000.12000.000.y00475.American.Coot.0.5864.0..3.Spectrogram.1.1.900.000000000.903.000000000.150.000.12000.000.leabit.Least.Bittern.0.6202.0...Selection.View.Channel.Begin.Time..s..End.Time..s..Low.Freq..Hz..High.Freq..Hz..Species.Code.Common.Name.Confidence.Detections","Detectios","Day","day_standardized","recording_day"
"18","1","Spectrogram 1","1","1590","1593","150","12000","leabit","Least Bittern","0.5494","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"082802","2023-04-23 08:28:02",NA,"0","EATO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"19","2","Spectrogram 1","1","3573","3576","150","12000","sora","Sora","0.8428","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"082802","2023-04-23 08:28:02",NA,"0","BIRD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"20","3","Spectrogram 1","1","456","459","150","12000","leabit","Least Bittern","0.4388","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"082802","2023-04-23 08:28:02",NA,"0","BIRD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"21","1","Spectrogram 1","1","1203","1206","150","12000","sora","Sora","0.5601","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"092802","2023-04-23 09:28:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"22","2","Spectrogram 1","1","1215","1218","150","12000","sora","Sora","0.4009","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"092802","2023-04-23 09:28:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"23","3","Spectrogram 1","1","1458","1461","150","12000","sora","Sora","0.4337","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"092802","2023-04-23 09:28:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"24","1","Spectrogram 1","1","3396","3399","150","12000","sora","Sora","0.4075","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"171900","2023-04-23 17:19:00",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-23,"181902","2023-04-23 18:19:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"26","1","Spectrogram 1","1","2523","2526","150","12000","sora","Sora","0.4403","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"191902","2023-04-23 19:19:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"27","2","Spectrogram 1","1","2529","2532","150","12000","sora","Sora","0.5997","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"191902","2023-04-23 19:19:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"28","3","Spectrogram 1","1","2538","2541","150","12000","sora","Sora","0.7576","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"191902","2023-04-23 19:19:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"29","1","Spectrogram 1","1","177","180","150","12000","sora","Sora","0.4439","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"201902","2023-04-23 20:19:02",NA,"0","NOCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"30","2","Spectrogram 1","1","180","183","150","12000","sora","Sora","0.4147","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"201902","2023-04-23 20:19:02",NA,"0","NOCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"31","3","Spectrogram 1","1","219","222","150","12000","sora","Sora","0.6658","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"201902","2023-04-23 20:19:02",NA,"1","NOCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"32","4","Spectrogram 1","1","438","441","150","12000","sora","Sora","0.5481","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"201902","2023-04-23 20:19:02",NA,"1","EATO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"33","5","Spectrogram 1","1","528","531","150","12000","sora","Sora","0.7674","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"201902","2023-04-23 20:19:02",NA,"1","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"34","6","Spectrogram 1","1","75","78","150","12000","sora","Sora","0.4881","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"201902","2023-04-23 20:19:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"35","7","Spectrogram 1","1","78","81","150","12000","sora","Sora","0.4165","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"201902","2023-04-23 20:19:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"36","1","Spectrogram 1","1","516","519","150","12000","leabit","Least Bittern","0.5285","Armstrong Ferry","A1","R1","MINI17",2023-04-24,"062600","2023-04-24 06:26:00",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-24,"072602","2023-04-24 07:26:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-24,"082602","2023-04-24 08:26:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-24,"092602","2023-04-24 09:26:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-24,"172000","2023-04-24 17:20:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-24,"182002","2023-04-24 18:20:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3
"42","1","Spectrogram 1","1","2430","2433","150","12000","sora","Sora","0.5235","Armstrong Ferry","A1","R1","MINI17",2023-04-24,"192002","2023-04-24 19:20:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-24,"202002","2023-04-24 20:20:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3
